"rank";"lex";"num";"ipm"
"376";"следующий";"107192";"275.2242370034391"
"377";"тело";"106464";"273.3550373939672"
"378";"лес";"106340";"273.03665724070555"
"379";"движение";"106182";"272.63097930348505"
"380";"театр";"105777";"271.59110864162227"
"381";"5";"105709";"271.4165130737046"
"382";"спать";"105643";"271.2470526695492"
"383";"огромный";"105512";"270.9106994431195"
"384";"цель";"105152";"269.9863699659081"
"385";"состояние";"105123";"269.91191009135497"
"386";"смысл";"105107";"269.8708287812567"
"387";"третий";"104392";"268.0350077362397"
"388";"пять";"104202";"267.54716717882263"
"389";"довольно";"103907";"266.7897305238856"
"390";"чуть";"103789";"266.48675586191075"
"391";"муж";"102873";"264.1348508587841"
"392";"рабочий";"102679";"263.63673997384245"
"393";"10";"102530";"263.2541702735522"
"394";"слушать";"102427";"262.9897093397945"
"395";"хотеться";"102027";"261.96267658733746"
"396";"дух";"102013";"261.92673044100144"
"397";"поставить";"101506";"260.62496642726217"
"398";"река";"101188";"259.80847538905886"
"399";"наука";"101075";"259.5183386364897"
"400";"помощь";"100778";"258.75576681779035"
"401";"развитие";"100324";"257.5900846437516"
"402";"прямо";"100258";"257.4206242395962"
"403";"сильный";"100114";"257.05089244871164"
"404";"показать";"99722";"256.04440035130375"
"405";"российский";"99560";"255.62845208655867"
"406";"связь";"99536";"255.56683012141121"
"407";"ответ";"98911";"253.9620914456971"
"408";"группа";"98762";"253.57952174540685"
"409";"действительно";"98576";"253.10195151551432"
"410";"иван";"98172";"252.0646484355327"
"411";"государственный";"98018";"251.66924082583674"
"412";"выходить";"97833";"251.19423817782533"
"413";"порядок";"97224";"249.6305808122095"
"414";"результат";"97008";"249.07598312588271"
"415";"двор";"96873";"248.72935957192843"
"416";"море";"96326";"247.32489228294344"
"417";"совет";"96257";"247.14772913314457"
"418";"из-за";"95981";"246.4390765339492"
"419";"войти";"95879";"246.1771831820727"
"420";"все-таки";"95756";"245.86137061069215"
"421";"рассказывать";"95424";"245.0089334261528"
"422";"средство";"95360";"244.84460818575965"
"423";"армия";"95279";"244.6366340533871"
"424";"становиться";"95016";"243.9613600186466"
"425";"старик";"94951";"243.79446719637232"
"426";"причина";"94806";"243.42216782360666"
"427";"четыре";"94736";"243.24243709192666"
"428";"н.";"94666";"243.0627063602467"
"429";"лучший";"94573";"242.82392124530043"
"430";"московский";"94501";"242.63905534985815"
"431";"существовать";"94338";"242.22053950323192"
"432";"простой";"94293";"242.10499831858047"
"433";"важный";"94105";"241.6222929249257"
"434";"далее";"93135";"239.13173850021735"
"435";"глядеть";"92838";"238.369166681518"
"436";"решение";"92450";"237.37294491163465"
"437";"происходить";"92375";"237.18037627054895"
